name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
NY city,2015-02-02,0.7,-9.7,-2.8,-2.6,-18.1,-8.5,-5.3,83.6,27.056,100,75,"rain,snow",0.8,5.3,50.6,28.6,18.9,1003.6,91,6.7,27.8,2.5,2,,2015-02-02T07:05:18,2015-02-02T17:14:39,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-03,-3.9,-10.3,-6.9,-8.3,-19.1,-12.7,-13.4,60,0,0,0,snow,0.2,5.7,53.3,28.6,280.8,1022.8,18.6,15.1,150.2,13,6,,2015-02-03T07:04:18,2015-02-03T17:15:53,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-04,5.1,-4.4,0.7,4.9,-8.1,-1.3,-6.4,59.1,0,0,0,"rain,snow",14.6,14.3,22.3,12.6,240.3,1021.2,75.3,15.1,127,10.9,5,,2015-02-04T07:03:16,2015-02-04T17:17:07,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-05,4.6,-9.5,-1.6,3.9,-17.5,-7,-11.1,49.3,0,0,0,,0,17.5,56,35.9,322.5,1016,57,15.9,111.8,9.6,5,,2015-02-05T07:02:13,2015-02-05T17:18:22,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-06,-2.8,-11.3,-7.1,-3.9,-18.4,-13,-17.4,44.2,0,0,0,,0,10,43.9,26.2,276.1,1022.4,27.9,16,147.5,12.8,5,,2015-02-06T07:01:08,2015-02-06T17:19:36,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-07,2.8,-4.2,-0.6,2.8,-9.1,-2.8,-8.7,54.4,0.375,100,8.33,"rain,snow",0,5.2,31.7,16.2,248.2,1018.8,86.6,14.3,99.9,8.6,4,,2015-02-07T07:00:01,2015-02-07T17:20:50,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-08,1.9,-0.3,1.3,0.9,-5.8,-2.6,-1.8,80.2,0,0,0,,0,4.6,38.9,23.6,54.9,1013.2,94.7,9.1,91.5,7.9,4,,2015-02-08T06:58:53,2015-02-08T17:22:04,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-09,-1.1,-3.5,-2.9,-6.8,-10,-9,-6.5,76,2.208,100,25,snow,1.3,4.9,43.2,27.4,51.1,1015.4,100,14.5,44.5,3.9,2,,2015-02-09T06:57:43,2015-02-09T17:23:18,0.69,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-10,3.6,-3.3,-0.7,-0.1,-9.4,-5.9,-6.6,65,0.185,100,4.17,snow,0.2,5.3,40.7,25.6,20.7,1017,77,15.4,131.2,11.4,6,,2015-02-10T06:56:32,2015-02-10T17:24:32,0.72,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
NY city,2015-02-11,0.5,-5.7,-2.4,-0.2,-12.3,-6.4,-11,52.4,0,0,0,,0,5.3,38.9,21.2,32.4,1016.7,16.8,16,172.9,15,7,,2015-02-11T06:55:20,2015-02-11T17:25:45,0.75,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
